,inner_loss,inner_loss_b,inner_loss_f
69,[6.61713447 3.35445735 2.38099942 1.98874145 1.63184295 1.25705309],[0.6434117  0.31786525 0.22107603 0.18237056 0.1472912  0.11051487],[0.18301752 0.17580489 0.17023911 0.16503589 0.15893098 0.15190441]
70,[6.15524989 3.1394213  2.24770948 1.895722   1.58361415 1.25893541],[0.59285329 0.29201196 0.20339354 0.16867744 0.13799569 0.1061119 ],[0.22671696 0.21930169 0.21377411 0.20894758 0.20365727 0.19781637]
71,[6.20327019 2.92650284 1.9857142  1.64039787 1.34167838 1.03505485],[0.60640044 0.2792655  0.18559331 0.15143679 0.12200042 0.0918312 ],[0.13926577 0.13384787 0.12978115 0.12602995 0.12167418 0.11674289]
72,[5.98767855 3.01279887 2.1394114  1.79799841 1.49548873 1.1793308 ],[0.57867555 0.28186399 0.19500865 0.16127549 0.13147362 0.10037866],[0.20092311 0.19415897 0.18932488 0.18524348 0.1807525  0.17554415]
73,[6.66117698 3.38015725 2.38947239 1.97273034 1.58848682 1.1928657 ],[0.6498931  0.32246012 0.22394495 0.18283957 0.14513193 0.10645466],[0.16224603 0.15555601 0.15002286 0.14433464 0.13716748 0.12831909]
74,[6.72946439 3.49575012 2.51255972 2.08226379 1.67768314 1.25980121],[0.65680821 0.33417105 0.23639731 0.19383116 0.15383844 0.11246108],[0.16138228 0.15403959 0.14858658 0.14395215 0.13929869 0.13519042]
75,[6.42806712 3.16919741 2.21287183 1.83378233 1.49555287 1.15012005],[0.6262712  0.3009998  0.20585161 0.16840787 0.13511818 0.1011536 ],[0.16535516 0.15919945 0.15435578 0.14970364 0.14437102 0.13858409]
76,[6.49370096 3.29991743 2.34033356 1.94297362 1.58208425 1.21302827],[0.6298831  0.31117728 0.21574057 0.17651453 0.14101635 0.10473219],[0.19486996 0.18814466 0.18292785 0.17782832 0.17192074 0.1657064 ]
77,[6.54989064 3.36016452 2.38985168 1.97209278 1.58719499 1.1956074 ],[0.6340582  0.31588239 0.21947762 0.17831803 0.14057672 0.10233579],[0.20930862 0.20134065 0.19507549 0.1889125  0.18142781 0.17224946]
78,[6.24884764 3.27227444 2.35431609 1.9305207  1.52797777 1.12476079],[0.60191552 0.30517336 0.21415444 0.1725931  0.13332825 0.09407224],[0.22969243 0.22054087 0.21277165 0.20458968 0.19469524 0.18403837]
79,[6.78742709 3.43753572 2.41923454 1.98209859 1.5817588  1.18156554],[0.66111272 0.32680872 0.22553118 0.18235528 0.14292539 0.10352622],[0.17629985 0.16944856 0.1639227  0.15854576 0.1525049  0.14630334]
80,[6.55089831 3.38230387 2.41135503 1.97734473 1.56907737 1.15888333],[0.62941555 0.31351545 0.21726705 0.17480267 0.13516415 0.0955268 ],[0.25674282 0.24714938 0.2386845  0.22931802 0.2174359  0.20361536]
81,[6.47344868 3.18430656 2.18632956 1.77641108 1.41080411 1.04827737],[0.62684836 0.29874972 0.19963396 0.15934221 0.12361224 0.08827704],[0.20496502 0.1968094  0.18998991 0.18298898 0.17468173 0.16550694]
82,[6.47397458 3.08819172 2.08384356 1.68861296 1.34046978 0.99458653],[0.63287514 0.29493594 0.19502193 0.15600715 0.12175495 0.08771809],[0.14522318 0.1388323  0.1336243  0.12854141 0.12292029 0.11740558]
83,[6.63553005 3.45523969 2.4776692  2.03606102 1.62268251 1.20550309],[0.64285953 0.32564557 0.22855352 0.18506446 0.1445254  0.10370244],[0.20693478 0.198784   0.19213397 0.18541646 0.1774285  0.1684787 ]
84,[6.63743533 3.43774583 2.4407617  1.99177792 1.57539255 1.16289134],[0.64318074 0.32407651 0.22511357 0.1809878  0.14026272 0.09995671],[0.20562792 0.19698077 0.189626   0.18189991 0.17276538 0.16332419]
